zip_code	count
20011	7715
20009	6098
20019	5756
20020	5151
20002	4961
20001	4897
20010	3517
20037	3088
20032	3047
20003	2722
20008	2615
20024	2524
20016	2387
20007	2027
20005	1913
22201	1601
20017	1591
20012	1495
20744	1376
20018	1355
22202	1306
20743	1181
20748	1135
20747	1120
20910	994
20015	972
20785	901
20774	866
22203	856
22204	824
22304	820
20746	795
20745	789
20815	785
22314	731
20735	692
22207	692
20036	684
22101	681
20772	674
22209	610
20852	608
20814	604
20817	603
20721	588
20906	533
20854	494
20902	492
20782	468
20912	438
20904	424
22301	423
20783	418
22315	380
22206	376
20720	371
22041	354
20706	352
20901	329
20816	318
20740	308
20603	298
22031	298
20784	285
22302	278
20781	270
20607	265
22205	250
20712	248
22312	245
22303	243
20850	242
22192	234
20004	234
20006	233
22003	229
22182	229
22180	226
22030	224
22044	219
20602	217
22079	216
22181	211
20855	209
22015	209
20770	203
20878	200
22310	198
20715	194
22311	193
20705	187
22305	186
22102	186
22307	183
22043	180
20613	178
22306	178
22309	178
22124	171
22066	170
20191	169
22308	163
22042	159
22191	159
20903	158
22046	154
20737	153
20874	152
20895	146
20716	146
20724	141
20052	139
22193	138
20640	133
20886	132
20601	129
20723	119
20515	118
20110	118
20695	117
20707	115
20030	109
22032	108
20853	105
22150	104
20877	99
20152	98
20879	98
22033	97
22153	96
20171	95
22152	91
20832	91
20155	89
22213	89
20769	83
21114	81
20710	77
22554	75
20851	75
22407	74
22151	73
20165	70
20111	69
20646	69
25425	66
20708	63
20187	63
20175	61
20866	61
22039	60
21076	60
20186	60
20905	60
20124	60
22401	58
20722	58
20013	57
20190	57
22712	57
20151	56
20112	53
21403	52
21619	51
20120	50
20841	50
20105	50
20876	49
20623	45
20914	44
21401	44
20166	44
20170	43
22553	42
20833	41
20148	38
21663	38
20194	37
20622	37
20637	37
21702	36
20109	36
20169	35
20678	34
20725	32
20147	32
22724	32
20132	31
21703	30
20736	30
20653	30
21113	29
60098	29
20861	28
20164	27
20757	27
25414	27
22701	26
21704	26
21044	26
20777	25
20616	25
20090	25
25401	25
22195	24
20057	24
22980	24
20608	24
20659	23
22485	23
21701	23
21045	23
23220	23
20121	22
20176	22
20768	21
21061	21
20753	21
20115	21
33067	21
22802	21
87108	20
23024	20
20136	20
80205	20
27350	20
20871	20
23237	20
20026	19
21742	19
34102	19
21228	19
21122	19
29715	19
20749	19
21136	19
20039	19
20775	18
20060	18
34231	18
20029	17
22630	17
22460	17
20916	17
15217	17
11236	16
22610	16
28501	16
34746	16
23086	16
20693	16
35150	16
21117	16
53704	16
20791	16
22134	16
23455	16
22210	16
13413	15
22026	15
77640	15
20043	15
20639	15
20882	15
21037	15
96062	14
21060	14
80466	14
34688	14
20813	14
20617	14
22199	14
29526	14
98020	13
85745	13
11238	13
20676	13
20776	13
19971	13
77043	13
25428	13
23456	12
81301	12
20818	12
48221	12
17404	12
23185	12
22060	12
25427	12
75206	12
21043	12
27959	12
60611	12
20056	12
93277	12
22734	12
22722	11
21782	11
21042	11
27510	11
21230	11
21231	11
32963	11
20662	11
20913	11
21046	11
33195	11
98103	11
32571	11
96146	11
20703	11
21075	11
91105	10
35160	10
93940	10
22643	10
21227	10
27023	10
20040	10
70471	10
20625	10
21214	10
20754	10
20215	10
26807	10
85711	10
20732	10
33322	10
22172	10
21638	10
84790	10
23336	9
21215	9
21032	9
21102	9
77479	9
23188	9
22313	9
21793	9
10003	9
20141	9
17252	9
78520	9
30340	9
17403	9
44313	9
32771	9
21201	9
60622	9
22406	9
19966	9
94115	9
21754	9
32413	9
37115	8
25443	8
20751	8
20714	8
56441	8
21146	8
20880	8
22009	8
23518	8
23879	8
22728	8
85266	8
17102	8
20657	8
35077	8
20611	8
31404	8
19375	8
94513	8
23047	8
62265	8
20872	7
21212	7
24541	7
94124	7
20038	7
20059	7
22602	7
43214	7
20891	7
99574	7
22539	7
12983	7
83014	7
92679	7
21218	7
30064	7
27514	7
95818	7
76116	7
21244	7
21157	7
28207	7
27043	7
20911	6
21210	6
21755	6
22405	6
22639	6
70118	6
21531	6
11763	6
98033	6
90802	6
63124	6
20106	6
22027	6
21108	6
14618	6
77450	6
10707	6
20687	6
63017	6
22726	6
30043	6
20711	6
10024	6
60605	6
60302	6
29732	6
60630	6
20033	6
22218	6
91711	6
28557	6
10022	6
33983	5
85713	5
29407	5
20837	5
96740	5
89123	5
20621	5
21144	5
10128	5
22116	5
27834	5
21202	5
89523	5
10606	5
90292	5
10023	5
46234	5
20604	5
60015	5
60637	5
20220	5
27513	5
23231	5
